group,reading,freq,source
𓀎󼶫𓏪,mšꜥ,2,Ramses
𓀎󼶫𓏫,mšꜥ,6,Ramses
𓀎󼶫󼶫𓏪,mšꜥ,1,Ramses
𓀏𓏪,sbꞽ.w,1,Ramses
𓀏𓏪,ḫrw.w,1,Ramses
𓀐,mwt,1,Ramses
𓀐𓃒𓏪,mwt,1,Ramses
𓀐𓏏,mwt,1,Ramses
𓀐𓏪,ḫfty.w,1,Ramses
𓀒,ḫrw,45,Ramses
𓀒,ḫr,1,AES
𓀒,ḫr.w,1,Ramses
𓀒𓂡,ḫr,1,AES
𓀒𓂧𓄑,dbḥ,1,AES
𓀒𓇋𓏠𓈖,mn,1,AES
𓀒𓏥,ḫrw.w,7,Ramses
𓀒𓏱,ḫr.w,1,AES
𓀓,wr,3,Ramses
𓀓,ksw,1,Ramses
𓀓𓏪,wr.w,2,Ramses
𓀔,šrꞽ,36,AES+Ramses
𓀔,ẖrd,17,AES+Ramses
𓀔,ḥms,14,Ramses
𓀔,šrꞽ.t,12,Ramses
𓀔,šrꞽ.w,2,Ramses
𓀔,nmḥy,2,Ramses
𓀔,ḥꜥꜣ,1,AES
𓀔,ḥwn,1,AES
𓀔,ms.t,1,AES
𓀔,nḫn.w,1,AES
𓀔,ẖrd.t,1,Ramses
𓀔,ẖrd.w,1,Ramses
𓀔,ms,1,Ramses
𓀔𓀀,ẖrd,21,AES+Ramses
𓀔𓀀,šrꞽ,5,AES+Ramses
𓀔𓀀𓁐𓏥,ẖrd,9,AES
𓀔𓀀𓁐𓏥,ẖrd.w,3,Ramses
𓀔𓀀𓁐𓏥,šrꞽ.w,1,Ramses
𓀔𓀀𓁐𓏫,šrꞽ.w,1,Ramses
𓀔𓀀𓏥,šrꞽ.w,10,Ramses
𓀔𓀀𓏥,šrꞽ.wt,1,Ramses
𓀔𓀀𓏪,ẖrd,1,AES
𓀔𓁐,šrꞽ.t,13,AES+Ramses
𓀔𓁐,šrꞽ,2,Ramses
𓀔𓁐,ꜥḏd.t,2,Ramses
𓀔𓁐,ẖrd.t,1,Ramses
𓀔𓁐𓈖𓏏𓄿𓇋𓎛𓃒𓏏𓁐,ṯꜣ-šrꞽ.t-n-tꜣ-ꞽḥ.t,1,AES
𓀔𓁐𓏥𓏫,šrꞽ.wt,1,Ramses
𓀔𓅆,šrꞽ,6,Ramses
𓀔𓅆,ẖrd,4,AES+Ramses
𓀔𓅪,šrꞽ,1,Ramses
𓀔𓅪,šrꞽ.t,1,Ramses
𓀔𓅱𓀀𓁐𓏥,ẖrd,1,AES
𓀔𓅱𓀀𓁐𓏪,ẖrd.w,1,Ramses
𓀔𓅱𓀀𓏥,ẖrd.w,1,Ramses
𓀔𓇋𓏲󷓀󷓀𓀀,šrꞽ,1,Ramses
𓀔𓈋𓅐𓈒𓏥,msdm.t,7,AES
𓀔𓈋𓅐𓏏𓈒𓏥,msdm.t,7,AES
𓀔𓈋𓅐𓏏𓈒𓏪,msdm.t,2,AES
𓀔𓈖,ꞽmti,1,AES
𓀔𓈖𓇋𓀁𓉔󼶫𓏯􄾽𓇋󼶫𓀔􄾽,šrꞽ.t-n-ꞽhꞽ,1,Ramses
𓀔𓈖𓇋𓉔󼶫𓏯􄾽𓇋󼶫𓀔􄾽,šrꞽ.t-n-ꞽhꞽ,1,Ramses
𓀔𓈖𓊶𓉐,ẖrd-n-kꜣp,1,AES
𓀔𓈗𓈘𓏤𓈇,nwn,1,Ramses
𓀔𓈙𓂋𓇋𓏲𓅪,šrꞽ,1,AES
𓀔𓏏,šrꞽ.t,3,Ramses
𓀔𓏏𓁐,šrꞽ.t,1,AES
𓀔𓏏𓏤,ṯꜣ,1,AES
𓀔𓏏𓏥,ẖrd.w,1,Ramses
𓀔𓏤,ꞽd,1,AES
𓀔𓏤􃥈,ꞽd,1,AES
𓀔𓏥,ẖrd,3,AES
𓀔𓏥,šrꞽ.w,2,Ramses
𓀔𓏥,ẖrd.w,2,Ramses
𓀔𓏥,ms.w,1,Ramses
𓀔𓏥𓏪,ẖrd.w,2,Ramses
𓀔𓏥𓏪,šrꞽ.w,1,Ramses
𓀔𓏥𓏲𓏪,ẖrd,1,AES
𓀔𓏪,ẖrd.w,5,Ramses
𓀔𓏪,nmḥ.w,5,Ramses
𓀔𓏪,ẖrd,1,AES
𓀔𓏪,šrꞽ,1,Ramses
𓀔𓏪,šrꞽ.t,1,Ramses
𓀔𓏪,šrꞽ.w,1,Ramses
𓀔𓏪𓁐,šrꞽ.t,2,Ramses
𓀔𓏪􄾽,nmḥ.w,12,Ramses
𓀔𓏪􄾽,šrꞽ,1,Ramses
𓀔𓏪􄾽,šrꞽ.w,1,Ramses
𓀔𓏫,šrꞽ.w,2,Ramses
𓀔𓏯,šrꞽ.t,4,Ramses
𓀔𓏯,šrꞽ,1,Ramses
𓀔𓏯𓀀,ẖrd,1,Ramses
𓀔𓏲𓀀𓁐𓏥,ẖrd,3,AES
𓀔𓏲𓀀𓁐𓏥,ẖrd.w,1,Ramses
𓀔𓏲𓀀𓏥,ẖrd,9,AES
𓀔𓏲𓅆𓏥,ẖrd,1,AES
𓀔𓏲𓈗𓈘𓏤𓈇,nwn,1,Ramses
𓀔􄾽,šrꞽ,2,Ramses
𓀔􎟬𓏲𓅪,šrꞽ,1,AES
𓀕,ms,2,Ramses
𓀕,mḥwn,1,AES
𓀕,ḥms,1,Ramses
𓀕𓀁,ḥms,1,Ramses
𓀖𓅆,ẖrd,1,Ramses
𓀗,wr,99,AES+Ramses
𓀗,ꞽꜣwi,57,AES
𓀗,sms.w,53,AES
𓀗,ꞽꜣw.t,10,AES+Ramses
𓀗,ꞽꜣw,9,AES+Ramses
𓀗,wr.w,4,Ramses
𓀗,wr.t,2,AES+Ramses
𓀗,smsw,1,Ramses
𓀗𓀀,wr,74,AES+Ramses
𓀗𓀀,sms.w,3,AES
𓀗𓀀,smsw,2,Ramses
𓀗𓀀𓏏𓏲,wr,1,Ramses
𓀗𓀀𓏥,wr.w,4,Ramses
𓀗𓀀𓏥,wr,1,AES
𓀗𓀗𓀗,ꞽꜣw,1,AES
𓀗𓀗𓀗,wr.w,1,Ramses
𓀗𓀭,wr,3,AES+Ramses
𓀗𓀻,wr,1,AES
𓀗𓀽𓏪,wr.w,2,Ramses
𓀗𓁐,wr,1,AES
𓀗𓂋,wr,1,Ramses
𓀗𓅆,wr,38,AES+Ramses
𓀗𓅆𓏪,wr.w,1,Ramses
𓀗𓅱,sms.w,1,AES
𓀗𓅱𓀀𓏥,wr.w,8,Ramses
𓀗𓅱𓀀𓏪,wr.w,2,Ramses
𓀗𓅱𓀭,sms.w,1,AES
𓀗𓅱𓀭𓏪,wr.w,1,Ramses
𓀗𓅱𓀰,smsw,1,Ramses
𓀗𓅱𓈓,wr,1,AES
𓀗𓅱𓏥,wr.w,3,Ramses
𓀗𓅱𓏥,sms.w,1,AES
𓀗𓅱𓏪,wr.w,2,Ramses
𓀗𓇋𓀀,sr,2,AES
𓀗𓇋𓅆,sr,2,AES
𓀗𓇋𓅆𓀛,sr-wr,1,AES
𓀗𓇋𓅆𓅓𓉺𓏌𓊖𓅆,sr-m-ꞽwn.w,2,AES
𓀗𓇋𓅆𓏠𓈖𓐍𓏏𓏰𓄜𓏛,sr-mnḫ,1,AES
𓀗𓇋𓇋𓀀𓏥,wr.w,2,Ramses
𓀗𓇋𓇋𓀀𓏥𓈖𓏏𓏮𓅓𓂝𓏏𓉐𓀼𓋴𓅆,nꜣ-sr.ꞽw-n.tꞽw-m-ꜥ.t-šps.ꞽt,1,AES
𓀗𓇋𓇋𓅆,wr.w,1,Ramses
𓀗𓇋𓇋𓏪,wr.w,1,Ramses
𓀗𓈖𓈙𓏲𓆱𓏥𓉐,bnš,2,AES+Ramses
𓀗𓉐,sms.w-pr,4,AES
𓀗𓉐,wr,1,AES
𓀗𓉐𓏤,sms.w-pr,10,AES
𓀗𓉐𓏤𓈖𓂋𓊪𓂝,sms.w-pr-n-ꞽr.ꞽ-pꜥ.t,1,AES
𓀗𓉔𓏏𓈀,sms.w-hꜣꞽ.t,1,AES
