sign,gardiner,codepoint,function,value,meaning,group,qualifier,source_note
𓆱,M3,U+131B1,determinative,,wood,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆱,M3,U+131B1,phonetic determinative,ḏꜥ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆲,M3a,U+131B2,logogram,m-ḫt,after,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆳,M4,U+131B3,determinative,rnpꞽ,young,,root=rnp,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆳,M4,U+131B3,logogram or determinative,rnp,year,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆳,M4,U+131B3,logogram,ḥꜣt-sp,regnal year,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆳,M4,U+131B3,logogram,snf,last year,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆴,M5,U+131B4,logogram or determinative,tr,season,,period=ME,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆴,M5,U+131B4,phonetic determinative,tr,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆴,M5,U+131B4,phonetic determinative,rꞽ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆵,M6,U+131B5,logogram or determinative,tr,season,,period=ME,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆵,M6,U+131B5,phonetic determinative,tr,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆵,M6,U+131B5,phonetic determinative,rꞽ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆶,M7,U+131B6,logogram or determinative,rnpꞽ,young,,period=ME; root=rnp,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆷,M8,U+131B7,logogram or determinative,šꜣ,land,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆷,M8,U+131B7,phonogram,šꜣ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆷,M8,U+131B7,phonogram,š,,M8,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆷,M8,U+131B7,logogram or determinative,ꜣḫt,Season of Inundation,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆸,M9,U+131B8,logogram or determinative,ššn,lotus,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆹,M10,U+131B9,logogram or determinative,nḥbt,lotus bud,,root=nḥb,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆻,M11,U+131BB,logogram or determinative,wdn,offer,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆼,M12,U+131BC,phonogram,ḫꜣ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆼,M12,U+131BC,logogram,ḫꜣ,1000,,numeral=1000,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓆼,M12,U+131BC,phonogram,ḫ,,M12,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇅,M13,U+131C5,logogram or determinative,wꜣḏ,papyrus,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇅,M13,U+131C5,phonogram or phonetic determinative,wꜣḏ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇆,M14,U+131C6,phonogram,wꜣḏ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇇,M15,U+131C7,determinative,,"papyrus, watery regions",,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇇,M15,U+131C7,phonetic determinative,wꜣḫ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇇,M15,U+131C7,logogram,^ꜣḫ-bꞽt,Chemmis,M15-L2-X1:O49,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇇,M15,U+131C7,logogram or determinative,mḥw,Lower Egypt,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇈,M15a,U+131C8,logogram,^ꜣḫ-bꞽt,Chemmis,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇉,M16,U+131C9,phonogram,ḥꜣ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇉,M16,U+131C9,phonogram,ḥ,,M16,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇉,M16,U+131C9,logogram or determinative,mḥw,Lower Egypt,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇊,M16a,U+131CA,logogram,^tꜣ-mḥw,Lower Egypt,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇋,M17,U+131CB,logogram,ꞽ,reed,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇋,M17,U+131CB,phonogram,ꞽ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇋,M17,U+131CB,phonogram,y,,"M17*[fix,sep=0.2]M17",,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇋,M17,U+131CB,phonogram,,Hebrew Yod,"M17*[fix,sep=0.2]M17",,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇋,M17,U+131CB,phonogram,,Hebrew Alef,M17-A2,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇍,M18,U+131CD,logogram,ꞽꞽ,come,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇎,M19,U+131CE,logogram or determinative,ꜥꜣbt,offering,,root=ꜥꜣb,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇏,M20,U+131CF,logogram,sḫt,marshland,,root=sḫ,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇐,M21,U+131D0,logogram or determinative,sm,plant,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇐,M21,U+131D0,phonogram,sm,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇑,M22,U+131D1,phonogram,nḫb,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇑,M22,U+131D1,phonogram,nn,,M22*[sep=0.5]M22,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇓,M23,U+131D3,logogram,swt,sedge,,root=sw,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇓,M23,U+131D3,phonogram,sw,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇓,M23,U+131D3,phonogram,s,,M23*G43,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇓,M23,U+131D3,logogram,nsw,king of Upper Egypt,M23-X1:N35,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇓,M23,U+131D3,logogram,nsw-bꞽtꞽ,king of Upper and Lower Egypt,M23:X1-L2:X1,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇔,M24,U+131D4,logogram,rs,south,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇕,M24a,U+131D5,logogram,tꜣwꞽ,the two lands,M24a-M13,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇗,M26,U+131D7,logogram,^šmꜥw,Upper Egypt,,root=šmꜥ,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇗,M26,U+131D7,phonogram or phonetic determinative,šmꜥ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇘,M27,U+131D8,logogram,^šmꜥw,Upper Egypt,,root=šmꜥ,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇘,M27,U+131D8,phonogram,šmꜥ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇙,M28,U+131D9,logogram,mḏw šmꜥ,the tens of Upper Egypt,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇚,M28a,U+131DA,logogram,tꜣ-^šmꜥw,Upper Egypt,,root=tꜣ-šmꜥ,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇛,M29,U+131DB,phonogram,nḏm,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇜,M30,U+131DC,logogram or determinative,bnr,sweet,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇝,M31,U+131DD,determinative,rd,grow,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇠,M33,U+131E0,logogram or determinative,ꞽt,barley,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇠,M33,U+131E0,determinative,,grain,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇣,M34,U+131E3,logogram or determinative,bdt,emmer,,root=bd,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇤,M35,U+131E4,determinative,,heap,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇥,M36,U+131E5,phonogram,ḏr,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇥,M36,U+131E5,determinative,,bundle together,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇧,M38,U+131E7,determinative,,flax,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇧,M38,U+131E7,determinative,,bundle together,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇨,M39,U+131E8,determinative,,vegetable offering,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇩,M40,U+131E9,logogram or determinative,ꞽsw,reeds,,root=ꞽs,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇩,M40,U+131E9,phonogram,ꞽs,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇫,M41,U+131EB,determinative,,wood,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇬,M42,U+131EC,phonogram,wn,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇬,M42,U+131EC,logogram,wnm,eat,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇭,M43,U+131ED,determinative,,"vine, fruit",,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇮,M44,U+131EE,logogram or determinative,spd,sharp,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇮,M44,U+131EE,determinative,,sharp,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇯,N1,U+131EF,logogram or determinative,pt,sky,,root=p,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇯,N1,U+131EF,determinative,,"sky, high",,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇯,N1,U+131EF,logogram,^ꞽnꞽ-ḥrt,Onuris,W25:N1,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇯,N1,U+131EF,phonogram,ḥr,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇯,N1,U+131EF,determinative,,gate,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇰,N2,U+131F0,logogram or determinative,grḥ,night,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇰,N2,U+131F0,determinative,,night,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇲,N4,U+131F2,logogram or determinative,ꞽꜣdt,dew,,root=ꞽꜣd,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇲,N4,U+131F2,determinative,,precipitation,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇳,N5,U+131F3,logogram or determinative,rꜥ,sun,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇳,N5,U+131F3,logogram or determinative,hrw,day,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇳,N5,U+131F3,logogram or determinative,sw,day,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇳,N5,U+131F3,determinative,,"sun, time",,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇴,N6,U+131F4,logogram or determinative,rꜥ,sun,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇵,N7,U+131F5,logogram,ẖrt-hrw,day-time,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇶,N8,U+131F6,logogram or determinative,ꜣḫw,sunshine,,root=ꜣḫ,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇶,N8,U+131F6,determinative,,shine,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇶,N8,U+131F6,logogram or determinative,wbn,rise,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇶,N8,U+131F6,phonogram,wbn,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇶,N8,U+131F6,logogram,ḥnmmt,sun-folk of Heliopolis,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇷,N9,U+131F7,logogram or determinative,psḏntꞽw,New-moon festival,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇷,N9,U+131F7,phonogram,psḏ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇹,N11,U+131F9,logogram or determinative,ꞽꜥḥ,moon,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇹,N11,U+131F9,phonogram or phonetic determinative,wꜥḥ,,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇹,N11,U+131F9,logogram,ꜣbd,month,N11:[fit]N14,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇹,N11,U+131F9,logogram,ꜣbd,month,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇹,N11,U+131F9,logogram,sšp,palm,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇺,N12,U+131FA,logogram or determinative,ꞽꜥḥ,moon,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇻,N13,U+131FB,logogram,smdt,half-month festival,,certain=false,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
𓇼,N14,U+131FC,logogram or determinative,sbꜣ,star,,,"Mark-Jan Nederhof, sign-function list (Unicode 5.2 set), https://mjn.host.cs.st-andrews.ac.uk/egyptian/unicode/ — used under his written grant of 2026-09-04; published here CC BY 4.0"
